Source system / Recipient;Source system / Recipient (renamed)
APKRP1;Korea
APPZP1;New Zealand
APPZP2;Australia
APSGP001;Singapor
APSGP002;Singapor
APSGP003;Singapor
AVESEF;France
BFO;FREE / GMR / Symphony / OPS / BFO
BU_PARTNER;BU PARTNER
ES_SAP;Spain
EUFR18;Plant
EUFR29;Plant
EUFR43;Newlog DC
EUFR50;Hub Europe
EUFRP1;Plant
EUFRP2;Plant
EUFRP7;Plant
EURUP1;Russia
FREE;FREE / GMR / Symphony / OPS / BFO
GMR;FREE / GMR / Symphony / OPS / BFO
HACROSS;Hungary
INDIA;India
INSAP1;Argentina
IOCIP1;Russia
LIFESPACE;Lifespace
LOGOS;SAP LOGOS
NAOD;NAOD
NAUSP1;NAOD
OPS;FREE / GMR / Symphony / OPS / BFO
PTLRC;Partner EcoBuilding SmartSpace SmartDev (PTLRC)
SABRP1;Brazil
SAPCN;China
SAPSNB;SNB
SEA_SAP;Singapor
SESP;NAOD
SYMPHONY;FREE / GMR / Symphony / OPS / BFO
